customer_id,age,income,risk_tolerance,investment_horizon,investment_goal,current_portfolio_value,age_risk_factor,income_risk_capacity,portfolio_concentration,horizon_score,risk_tolerance_score,goal_Education,goal_Home purchase,goal_Retirement,goal_Wealth building,income_portfolio_ratio,investment_capacity,composite_risk_score
27,27,61022,Medium,Medium-term,Home purchase,824661,0.73,0.30511,0.8250578528272099,2,2,False,True,False,False,0.07399646642681053,122044,1.280022
28,50,63577,Low,Long-term,Retirement,520269,0.5,0.317885,0.520519369816882,3,1,False,False,True,False,0.12220024641099124,190731,1.113577
29,35,81369,High,Short-term,Education,277727,0.65,0.406845,0.2778606509731181,1,3,True,False,False,False,0.29298195710175823,81369,1.376369
30,40,35903,Medium,Long-term,Wealth building,932401,0.6,0.179515,0.9328497007060396,3,2,False,False,False,True,0.03850596470831756,107709,1.4159030000000001
31,35,52644,Medium,Medium-term,Wealth building,523622,0.65,0.26322,0.5238739833860087,2,2,False,False,False,True,0.10053817448464732,105288,1.247644
32,72,30000,Low,Long-term,Education,81537,0.28,0.15,0.08157623817056003,3,1,True,False,False,False,0.3679311232937194,90000,1.014
33,44,73102,Low,Long-term,Home purchase,774777,0.56,0.36551,0.7751498470764437,3,1,False,True,False,False,0.09435231040673639,219306,1.141102
34,29,82751,High,Long-term,Wealth building,407783,0.71,0.413755,0.4079792380134845,3,3,False,False,False,True,0.20292900881105883,248253,1.795751
35,57,47023,Low,Long-term,Retirement,609095,0.43000000000000005,0.235115,0.6093881156836438,3,1,False,False,True,False,0.0772014217814955,141069,1.0760230000000002
36,26,131530,High,Long-term,Education,663936,0.74,0.65765,0.6642555068988183,3,3,True,False,False,False,0.1981064439946019,394590,1.8535300000000001
37,48,32439,Medium,Short-term,Retirement,909084,0.52,0.162195,0.9095214798317991,1,2,False,False,True,False,0.03568317119210106,32439,0.9884390000000001
38,18,30000,High,Short-term,Education,480455,0.8200000000000001,0.15,0.48068621006704226,1,3,True,False,False,False,0.06244081131427501,30000,1.376
39,25,66985,Medium,Short-term,Wealth building,678689,0.75,0.334925,0.6790156065067298,1,2,False,False,False,True,0.09869763617798431,66985,1.091985
40,47,101068,Medium,Medium-term,Home purchase,242117,0.53,0.50534,0.24223351432038812,2,2,False,True,False,False,0.41743454610787345,202136,1.260068
41,56,138963,Low,Long-term,Education,783068,0.43999999999999995,0.694815,0.783444836966581,3,1,True,False,False,False,0.17745968421644098,416889,1.170963
42,47,47598,Medium,Short-term,Education,343936,0.53,0.23799,0.3441015128276701,1,2,True,False,False,False,0.13839202642352066,47598,1.0065979999999999
43,43,102676,High,Medium-term,Retirement,403444,0.5700000000000001,0.51338,0.40363814995012604,2,3,False,False,True,False,0.2544987656279434,205352,1.5736759999999999
44,40,58732,High,Short-term,Wealth building,223286,0.6,0.29366,0.2233934522505325,1,3,False,False,False,True,0.2630348521626972,58732,1.3387319999999998
45,22,54922,High,Short-term,Retirement,571340,0.78,0.27461,0.5716149467894057,1,3,False,False,True,False,0.09612839990198481,54922,1.3889219999999998
46,34,93137,Medium,Long-term,Wealth building,460985,0.6599999999999999,0.465685,0.4612068404902758,3,2,False,False,False,True,0.20203911190168877,279411,1.4911370000000002
47,38,82963,Low,Medium-term,Retirement,56032,0.62,0.414815,0.05605896436185805,2,1,False,False,True,False,1.4806360651056538,165926,0.968963
48,60,30000,Medium,Long-term,Education,514910,0.4,0.15,0.5151577908974216,3,2,True,False,False,False,0.058262608999631,90000,1.35
49,50,125275,Low,Long-term,Retirement,305830,0.5,0.626375,0.3059771750211852,3,1,False,False,True,False,0.40962299316613804,375825,1.175275
50,18,119377,High,Short-term,Home purchase,873413,0.8200000000000001,0.596885,0.8738333138239494,1,3,False,True,False,False,0.1366787533503623,119377,1.465377
51,49,43792,Low,Long-term,Wealth building,633090,0.51,0.21896,0.6333946628328226,3,1,False,False,False,True,0.06917183970683473,131376,1.0967920000000002
52,39,72977,Low,Medium-term,Wealth building,990765,0.61,0.364885,0.9912417872996911,2,1,False,False,False,True,0.07365722446796162,145954,0.955977
53,34,76650,Medium,Long-term,Education,930313,0.6599999999999999,0.38325,0.9307606958947253,3,2,True,False,False,False,0.0823916251842122,229950,1.47465
54,54,68209,Low,Long-term,Wealth building,244337,0.45999999999999996,0.341045,0.2444545826542567,3,1,False,False,False,True,0.27915952148057804,204627,1.106209
55,60,45471,Medium,Long-term,Home purchase,182857,0.4,0.227355,0.18294499654333735,3,2,False,True,False,False,0.24866972552322306,136413,1.365471
56,58,42795,Low,Short-term,Retirement,439763,0.42000000000000004,0.213975,0.43997462779596985,1,1,False,False,True,False,0.0973137803771577,42795,0.668795
57,32,59113,Low,Medium-term,Education,314962,0.6799999999999999,0.295565,0.3151135696269906,2,1,True,False,False,False,0.18768295857913017,118226,0.963113
58,40,107620,Medium,Short-term,Home purchase,896854,0.6,0.5381,0.8972855943708924,1,2,False,True,False,False,0.11999723477845893,107620,1.08762
59,49,78574,Low,Short-term,Wealth building,344071,0.51,0.39287,0.34423657779391886,1,1,False,False,False,True,0.22836565708821727,78574,0.731574
60,59,49746,Low,Short-term,Wealth building,731041,0.41000000000000003,0.24873,0.7313927999367695,1,1,False,False,False,True,0.06804816692907785,49746,0.6727460000000001
61,37,88066,Medium,Short-term,Home purchase,351609,0.63,0.44033,0.35177820531675735,1,2,False,True,False,False,0.25046571617905117,88066,1.077066
62,42,30000,Low,Short-term,Retirement,755222,0.5800000000000001,0.15,0.7555854365950022,1,1,False,False,True,False,0.03972341907412655,30000,0.704
63,28,106338,High,Medium-term,Retirement,760887,0.72,0.53169,0.761253162771293,2,3,False,False,True,False,0.13975531189256749,212676,1.622338
64,27,30000,Medium,Long-term,Education,647509,0.73,0.15,0.6478206017094222,3,2,True,False,False,False,0.04633140234344233,90000,1.449
65,57,49950,Low,Short-term,Wealth building,309477,0.43000000000000005,0.24975,0.30962593007236483,1,1,False,False,False,True,0.1614013319245049,49950,0.6789499999999999
66,65,34206,Medium,Short-term,Home purchase,136457,0.35,0.17103,0.13652266740302085,1,2,False,True,False,False,0.25067237298196504,34206,0.939206
67,43,31340,Medium,Medium-term,Retirement,288720,0.5700000000000001,0.1567,0.2888589411506935,2,2,False,False,True,False,0.10854807425879745,62680,1.20234
68,60,106981,Low,Medium-term,Education,129875,0.4,0.534905,0.12993749993746992,2,1,True,False,False,False,0.8237228103946101,213962,0.9269809999999999
69,50,47389,Low,Long-term,Wealth building,835837,0.5,0.236945,0.8362392310701448,3,1,False,False,False,True,0.05669646115211459,142167,1.0973890000000002
70,35,71200,Low,Medium-term,Wealth building,890432,0.65,0.356,0.890860503902377,2,1,False,False,False,True,0.07996118737871055,142400,0.9662000000000001
71,50,58485,Medium,Long-term,Education,476995,0.5,0.292425,0.47722454500614797,3,2,True,False,False,False,0.12261134812733886,175455,1.4084850000000002
72,68,76002,Low,Short-term,Education,565889,0.31999999999999995,0.38001,0.56616132359665,1,1,True,False,False,False,0.13430549100618672,76002,0.672002
73,44,62218,Medium,Short-term,Retirement,864378,0.56,0.31109,0.8647939658975967,1,2,False,False,True,False,0.0719800827878544,62218,1.030218
74,68,31523,Medium,Long-term,Home purchase,994860,0.31999999999999995,0.157615,0.9953387579425704,3,2,False,True,False,False,0.03168586534788814,94569,1.327523
75,18,98531,High,Medium-term,Wealth building,324260,0.8200000000000001,0.492655,0.32441604411722036,2,3,False,False,False,True,0.30386418306297414,197062,1.6445309999999997
76,57,46775,Medium,Long-term,Home purchase,527965,0.43000000000000005,0.233875,0.5282190733742931,3,2,False,True,False,False,0.08859488791870673,140325,1.375775
77,46,30000,Medium,Medium-term,Wealth building,520472,0.54,0.15,0.5207224675068708,2,2,False,False,False,True,0.0576399883182957,60000,1.1920000000000002
78,40,48336,High,Short-term,Wealth building,638474,0.6,0.24168,0.6387812537830696,1,3,False,False,False,True,0.075705510326184,48336,1.328336
79,46,126801,Low,Medium-term,Home purchase,859326,0.54,0.634005,0.8597395347161985,2,1,False,True,False,False,0.14755866807241955,253602,0.988801
80,18,91593,High,Long-term,Education,699995,0.8200000000000001,0.457965,0.7003318596244794,3,3,True,False,False,False,0.13084807748626776,274779,1.837593
81,41,50295,Medium,Long-term,Retirement,803897,0.5900000000000001,0.251475,0.8042838605369182,3,2,False,False,True,False,0.06256398518715706,150885,1.427295
82,50,50280,Low,Short-term,Wealth building,591042,0.5,0.2514,0.5913264280118737,1,1,False,False,False,True,0.08507009654136254,50280,0.70028
83,67,50979,Low,Medium-term,Education,239047,0.32999999999999996,0.254895,0.23916203693976804,2,1,True,False,False,False,0.21325931720540311,101958,0.849979
84,37,169121,Medium,Medium-term,Wealth building,102850,0.63,0.845605,0.10289949465692998,2,2,False,False,False,True,1.6443461351482742,338242,1.3581210000000001
85,32,72472,Low,Medium-term,Retirement,906197,0.6799999999999999,0.36236,0.9066330905165385,2,1,False,False,True,False,0.07997378053557891,144944,0.976472
86,37,74237,Low,Short-term,Wealth building,750479,0.63,0.371185,0.7508401541141289,1,1,False,False,False,True,0.0989194900856653,74237,0.7632369999999999
87,58,100221,Medium,Medium-term,Retirement,364835,0.42000000000000004,0.501105,0.3650105700842105,2,2,False,False,True,False,0.27470226266668496,200442,1.226221
88,49,67467,Medium,Long-term,Retirement,573159,0.51,0.337335,0.5734348221494538,3,2,False,False,True,False,0.117710792293238,202401,1.420467
89,37,52600,High,Medium-term,Wealth building,203946,0.63,0.263,0.2040441452338575,2,3,False,False,False,True,0.25791140792170475,105200,1.5415999999999999
90,52,54275,Medium,Short-term,Wealth building,480949,0.48,0.271375,0.4811804477953896,1,2,False,False,False,True,0.11284980320158686,54275,0.998275
91,46,57768,High,Medium-term,Retirement,825943,0.54,0.28884,0.8263404697659574,2,3,False,False,True,False,0.0699418725020976,115536,1.519768
92,59,58770,Medium,Medium-term,Education,877392,0.41000000000000003,0.29385,0.8778142286439777,2,2,True,False,False,False,0.0669826029870343,117540,1.18177
93,34,86147,Low,Long-term,Home purchase,976325,0.6599999999999999,0.430735,0.9767948383172306,3,1,False,True,False,False,0.08823598699203647,258441,1.184147
94,40,61449,Low,Medium-term,Retirement,862208,0.6,0.307245,0.8626229216253017,2,1,False,False,True,False,0.07126934567992874,122898,0.941449
95,39,86363,Medium,Long-term,Wealth building,259200,0.61,0.431815,0.25932473519763005,3,2,False,False,False,True,0.3331905864197531,259089,1.469363
96,23,57505,High,Long-term,Wealth building,735527,0.77,0.287525,0.7358809587411544,3,3,False,False,False,True,0.07818203818486609,172515,1.788505
97,49,62275,Low,Short-term,Education,316606,0.51,0.311375,0.31675836077153113,1,1,True,False,False,False,0.19669557746852556,62275,0.7152749999999999
98,48,30000,Medium,Long-term,Home purchase,464598,0.52,0.15,0.4648215791795854,3,2,False,True,False,False,0.0645719525267005,90000,1.3860000000000001
99,45,94671,High,Long-term,Retirement,493410,0.55,0.473355,0.4936474444207664,3,3,False,False,True,False,0.1918708579072171,284013,1.759671
100,41,71199,Medium,Short-term,Retirement,768741,0.5900000000000001,0.355995,0.7691109423632767,1,2,False,False,True,False,0.09261766967027907,71199,1.0481989999999999
101,23,98617,High,Long-term,Home purchase,566862,0.77,0.493085,0.5671347918348726,3,3,False,True,False,False,0.17397003150678647,295851,1.829617
102,38,30000,Medium,Short-term,Retirement,636360,0.62,0.15,0.6366662364597371,1,2,False,False,True,False,0.047143126532151615,30000,1.016
103,39,170107,Low,Medium-term,Home purchase,445126,0.61,0.850535,0.445340208640356,2,1,False,True,False,False,0.3821547157434075,340214,1.053107
104,32,55837,Medium,Short-term,Wealth building,214603,0.6799999999999999,0.279185,0.21470627371765819,1,2,False,False,False,True,0.2601874158329567,55837,1.059837
105,42,104202,Medium,Long-term,Home purchase,690546,0.5800000000000001,0.52101,0.6908783124682972,3,2,False,True,False,False,0.15089798507268162,312606,1.478202
106,51,35598,Low,Short-term,Retirement,688173,0.49,0.17799,0.6885041705060134,1,1,False,False,True,False,0.051728271815372005,35598,0.682598
107,73,81339,Medium,Long-term,Home purchase,744172,0.27,0.406695,0.7445301189872329,3,2,False,True,False,False,0.1093013443128739,244017,1.362339
108,47,35358,Medium,Medium-term,Education,750885,0.53,0.17679,0.7512463494941066,2,2,True,False,False,False,0.047088435645937794,70716,1.194358
109,48,43831,High,Short-term,Wealth building,874714,0.52,0.219155,0.8751349399060948,1,3,False,False,False,True,0.05010894989676626,43831,1.299831
110,43,155907,High,Medium-term,Wealth building,119779,0.5700000000000001,0.779535,0.1198366414245252,2,3,False,False,False,True,1.3016221541338633,311814,1.626907
111,18,54429,Medium,Long-term,Home purchase,28557,0.8200000000000001,0.272145,0.028570742527155562,3,2,False,True,False,False,1.9059775186469168,163287,1.500429
112,44,66750,Medium,Long-term,Retirement,169132,0.56,0.33375,0.1692133916413795,3,2,False,False,True,False,0.3946621573682094,200250,1.4347500000000002
113,45,92506,Medium,Medium-term,Education,462082,0.55,0.46253,0.462304368401201,2,2,True,False,False,False,0.20019390497790435,185012,1.257506
114,80,76714,Medium,Short-term,Wealth building,344248,0.19999999999999996,0.38357,0.34441366297188947,1,2,False,False,False,True,0.22284515814180475,76714,0.936714
115,42,64550,Low,Short-term,Wealth building,766265,0.5800000000000001,0.32275,0.7666337508341512,1,1,False,False,False,True,0.08423978649683857,64550,0.73855
116,49,71860,Medium,Long-term,Retirement,487793,0.51,0.3593,0.4880277413435863,3,2,False,False,True,False,0.1473165871588973,215580,1.42486
117,44,199128,Medium,Medium-term,Retirement,671440,0.56,0.99564,0.6717631180597867,2,2,False,False,True,False,0.2965685690456333,398256,1.3671280000000001
118,27,58173,Medium,Medium-term,Education,154926,0.73,0.290865,0.15500055526708348,2,2,True,False,False,False,0.3754889431083227,116346,1.277173
119,62,66207,Low,Short-term,Home purchase,918445,0.38,0.331035,0.9188869846396116,1,1,False,True,False,False,0.07208597139730741,66207,0.680207
120,56,101247,Low,Short-term,Retirement,733055,0.43999999999999995,0.506235,0.7334077691369548,1,1,False,False,True,False,0.13811651240357137,101247,0.733247
121,56,104064,Medium,Short-term,Home purchase,692385,0.43999999999999995,0.52032,0.6927181974529749,1,2,False,True,False,False,0.15029788340302,104064,1.0360639999999999
122,31,108392,Medium,Medium-term,Education,194054,0.69,0.54196,0.19414738489213312,2,2,True,False,False,False,0.558566172302555,216784,1.3153920000000001
123,66,82402,Low,Short-term,Home purchase,575369,0.33999999999999997,0.41201,0.5756458856710077,1,1,False,True,False,False,0.1432159188277436,82402,0.684402
124,23,33809,Medium,Short-term,Wealth building,931872,0.77,0.169045,0.9323204461345908,1,2,False,False,False,True,0.03628073383468974,33809,1.064809
125,53,135498,Medium,Long-term,Home purchase,764981,0.47,0.67749,0.7653491329329407,3,2,False,True,False,False,0.17712596783449525,406494,1.476498
126,77,33753,Low,Short-term,Education,391325,0.22999999999999998,0.168765,0.39151331790591276,1,1,True,False,False,False,0.08625311441896122,33753,0.602753
127,30,69655,High,Short-term,Education,823526,0.7,0.348275,0.8239223066294887,1,3,True,False,False,False,0.08458142183731904,69655,1.3796549999999999
128,36,41062,Low,Medium-term,Education,973544,0.64,0.20531,0.974012500012506,2,1,True,False,False,False,0.0421778573952487,82124,0.933062
129,46,57984,Medium,Medium-term,Home purchase,338910,0.54,0.28992,0.3390730941582901,2,2,False,True,False,False,0.17108966982384705,115968,1.2199840000000002
130,37,70571,Low,Long-term,Wealth building,879485,0.63,0.352855,0.8799082358614494,3,1,False,False,False,True,0.0802412775658482,211713,1.1595710000000001
131,21,70310,Medium,Short-term,Retirement,165063,0.79,0.35155,0.16514243351051855,1,2,False,False,True,False,0.42595857339318927,70310,1.10731
132,46,73936,Medium,Long-term,Wealth building,797733,0.54,0.36968,0.7981168942261228,3,2,False,False,False,True,0.0926826394294833,221808,1.435936
133,29,134169,Medium,Medium-term,Home purchase,693970,0.71,0.670845,0.6943039602048585,2,2,False,True,False,False,0.1933354467772382,268338,1.347169
134,52,75114,Medium,Long-term,Home purchase,615751,0.48,0.37557,0.6160473187603237,3,2,False,True,False,False,0.12198762161977812,225342,1.419114
135,31,52993,Low,Medium-term,Retirement,700038,0.69,0.264965,0.7003748803174327,2,1,False,False,True,False,0.075700176276145,105986,0.959993
136,68,96959,Low,Long-term,Home purchase,296610,0.31999999999999995,0.484795,0.29675273806701025,3,1,False,True,False,False,0.3268905296517312,290877,1.092959
137,33,108524,Medium,Long-term,Education,483656,0.6699999999999999,0.54262,0.4838887504889852,3,2,True,False,False,False,0.2243826190515573,325572,1.509524
138,40,32409,Low,Short-term,Education,968379,0.6,0.162045,0.9688450144519514,1,1,True,False,False,False,0.033467268497148324,32409,0.7124090000000001
139,57,80716,Low,Long-term,Education,36081,0.43000000000000005,0.40358,0.036098363312753436,3,1,True,False,False,False,2.237077686316898,242148,1.1097160000000001
140,26,85015,High,Short-term,Education,34354,0.74,0.425075,0.034370532226000707,1,3,True,False,False,False,2.4746754380858125,85015,1.407015
141,48,51596,Medium,Short-term,Education,627585,0.52,0.25798,0.6278870136535674,1,2,True,False,False,False,0.08221356469641562,51596,1.007596
142,64,119116,Low,Short-term,Home purchase,814732,0.36,0.59558,0.8151240746799211,1,1,False,True,False,False,0.14620267769033252,119116,0.7271159999999999
143,20,55546,High,Short-term,Retirement,74384,0.8,0.27773,0.07441979592183841,1,3,False,False,True,False,0.7467466121746612,55546,1.3955459999999997
144,47,63754,Medium,Long-term,Retirement,891459,0.53,0.31877,0.8918879981270992,3,2,False,False,True,False,0.07151646906924491,191262,1.422754
145,48,54910,Low,Medium-term,Education,655972,0.52,0.27455,0.6562876743713726,2,1,True,False,False,False,0.0837078411883434,109820,0.91091
146,56,60342,Low,Medium-term,Home purchase,857324,0.43999999999999995,0.30171,0.8577365712907908,2,1,False,True,False,False,0.07038412548814683,120684,0.892342
147,26,34608,High,Medium-term,Wealth building,45525,0.74,0.17304,0.045546908062778196,2,3,False,False,False,True,0.7601976935749588,69216,1.5566079999999998
148,25,30000,High,Long-term,Wealth building,954036,0.75,0.15,0.9544951121489437,3,3,False,False,False,True,0.03144535426336113,90000,1.755
149,52,132886,Low,Short-term,Home purchase,16464,0.48,0.66443,0.016471922994960576,1,1,False,True,False,False,8.071307094266277,132886,0.776886
150,49,39203,Medium,Medium-term,Education,550850,0.51,0.196015,0.5511150863565375,2,2,True,False,False,False,0.07116819460833258,78406,1.1922030000000001
151,48,36472,Medium,Long-term,Retirement,903824,0.52,0.18236,0.9042589485542546,3,2,False,False,True,False,0.04035298907751952,109416,1.3924720000000002
152,50,30000,Medium,Short-term,Home purchase,589802,0.5,0.15,0.590085831284848,1,2,False,True,False,False,0.05086452741767576,30000,0.98
153,34,43500,Medium,Medium-term,Wealth building,385572,0.6599999999999999,0.2175,0.3857575493812524,2,2,False,False,False,True,0.1128193955992655,87000,1.2414999999999998
154,48,30898,High,Short-term,Wealth building,122564,0.52,0.15449,0.12262298165417566,1,3,False,False,False,True,0.25209686367938383,30898,1.2868979999999999
155,49,136081,Low,Medium-term,Wealth building,380191,0.51,0.680405,0.38037395987469974,2,1,False,False,False,True,0.3579279888266687,272162,0.989081
156,34,99201,Low,Medium-term,Education,477435,0.6599999999999999,0.496005,0.4776647567479958,2,1,True,False,False,False,0.20777906940211757,198402,0.997201
157,72,42443,Medium,Medium-term,Wealth building,566922,0.28,0.212215,0.5671948207087609,2,2,False,False,False,True,0.07486567817089476,84886,1.126443
158,52,184650,Medium,Short-term,Home purchase,796492,0.48,0.92325,0.7968752970178656,1,2,False,True,False,False,0.23182907047402862,184650,1.12865
159,27,97819,Medium,Long-term,Home purchase,805701,0.73,0.489095,0.8060887286784943,3,2,False,True,False,False,0.12140856223338435,293457,1.5168190000000001
160,54,50898,Low,Short-term,Wealth building,204215,0.45999999999999996,0.25449,0.20431327468512356,1,1,False,False,False,True,0.2492373234091521,50898,0.688898
161,30,30000,Low,Medium-term,Home purchase,557353,0.7,0.15,0.5576212158048021,2,1,False,True,False,False,0.05382585183896023,60000,0.9400000000000001
162,56,188239,Low,Short-term,Wealth building,275039,0.43999999999999995,0.941195,0.2751713574229204,1,1,False,False,False,True,0.6844083929915393,188239,0.8202389999999999
163,62,30000,Medium,Long-term,Wealth building,353003,0.38,0.15,0.3531728761534298,3,2,False,False,False,True,0.08498511344096225,90000,1.344
164,32,30000,Medium,Short-term,Retirement,677712,0.6799999999999999,0.15,0.6780381363435812,1,2,False,False,True,False,0.044266591118351156,30000,1.034
165,59,99836,Low,Long-term,Education,977241,0.41000000000000003,0.49918,0.9777112791252592,3,1,True,False,False,False,0.1021610841133354,299508,1.122836
166,51,200000,Low,Long-term,Education,114127,0.49,1.0,0.11418192150424354,3,1,True,False,False,False,1.752433692290168,600000,1.247
167,57,119627,Low,Short-term,Retirement,106426,0.43000000000000005,0.598135,0.10647721554067506,1,1,False,False,True,False,1.1240392385319378,119627,0.7486269999999999
168,73,79376,Low,Medium-term,Retirement,959520,0.27,0.39688,0.959981751222338,2,1,False,False,True,False,0.08272469568117392,158752,0.860376
169,41,80609,Medium,Long-term,Education,202376,0.5900000000000001,0.403045,0.20247338970044593,3,2,True,False,False,False,0.3983130410720639,241827,1.4576090000000002
170,33,91739,High,Short-term,Wealth building,21962,0.6699999999999999,0.458695,0.02197256880559549,1,3,False,False,False,True,4.17716965667972,91739,1.392739
171,31,87506,High,Long-term,Wealth building,43302,0.69,0.43753,0.04332283828521519,3,3,False,False,False,True,2.0208304466306406,262518,1.794506
172,32,68912,Low,Medium-term,Education,357526,0.6799999999999999,0.34456,0.3576980527633792,2,1,True,False,False,False,0.1927468212102057,137824,0.972912
173,43,63076,High,Short-term,Wealth building,14011,0.5700000000000001,0.31538,0.01401774253415893,1,3,False,False,False,True,4.501891371065591,63076,1.3340759999999998
174,50,58029,Medium,Short-term,Retirement,926148,0.5,0.290145,0.9265936915656431,1,2,False,False,True,False,0.06265629251480324,58029,1.008029
175,49,41069,Medium,Short-term,Wealth building,29782,0.51,0.205345,0.029796332035709177,1,2,False,False,False,True,1.3789873077697938,41069,0.9940689999999999
176,57,52034,Low,Medium-term,Wealth building,208763,0.43000000000000005,0.26017,0.20886346332585973,2,1,False,False,False,True,0.24924914855601807,104068,0.881034
177,45,30000,Medium,Long-term,Home purchase,654942,0.55,0.15,0.6552571787029561,3,2,False,True,False,False,0.04580558278442977,90000,1.395
178,66,57001,Low,Short-term,Home purchase,442941,0.33999999999999997,0.285005,0.44315415714958895,1,1,False,True,False,False,0.12868756787021296,57001,0.659001
179,41,36523,Low,Long-term,Home purchase,543484,0.5900000000000001,0.182615,0.5437455416055123,3,1,False,True,False,False,0.06720161035099469,109569,1.113523
180,80,34482,Low,Long-term,Wealth building,53459,0.19999999999999996,0.17241,0.053484726153279726,3,1,False,False,False,True,0.645017677098337,103446,0.9944820000000001
181,54,65509,Low,Medium-term,Education,621533,0.45999999999999996,0.327545,0.6218321012406968,2,1,True,False,False,False,0.10539906971954828,131018,0.903509
182,32,120090,Medium,Short-term,Retirement,532829,0.6799999999999999,0.60045,0.5330854140841745,1,2,False,False,True,False,0.2253818767371896,120090,1.12409
183,28,94765,High,Long-term,Wealth building,613151,0.72,0.473825,0.6134460675584956,3,3,False,False,False,True,0.1545540984194758,284295,1.810765
184,52,30000,Low,Short-term,Education,919638,0.48,0.15,0.9200805587487582,1,1,True,False,False,False,0.0326215315156616,30000,0.6739999999999999
185,41,36504,Low,Short-term,Wealth building,784751,0.5900000000000001,0.18252,0.7851286468791489,1,1,False,False,False,True,0.04651666579590214,36504,0.7135039999999999
186,55,95835,Medium,Medium-term,Retirement,373154,0.44999999999999996,0.479175,0.3733335734488289,2,2,False,False,True,False,0.25682426022500093,191670,1.230835
